word,sense,synset
pobl,people,bodau dynol
pobl,people,gwerin
pobl,people,person
pobl,people,cenedl
pobl,people,cyhoedd
pobl,people,dynes
pobl,people,cymuned
pobl,people,cymdeithas
pobl,people,unigolion
pobl,people,grŵp o bobl
pobl,people,poblogaeth
pobl,people,dynion
pobl,people,pobloedd
pobl,people,bod dynol
pobl,people,dyn
pobl,people,torf
pobl,people,merched
pobl,people,enaidiau
pobl,people,eneidiau
pobl,people,personau
pobl,people,pawb
pobl,people,pobl hen
pobl,people,dynolryw
pobl,people,poblog
pobl,people,trigolion
pobl,people,person (capel)
pobl,people,pobl ifanc
pobl,people,y ddynoliaeth
pobl,people,plant
pobl,people,dynoliaeth
pobl,people,grwp
gwaith,work,llafur
gwaith,work,swydd
gwaith,work,bywoliaeth
gwaith,work,tasg
gwaith,work,galwedigaeth
gwaith,work,gorchwyl
gwaith,work,dyletswydd
gwaith,work,masnach
gwaith,work,gweithio
gwaith,work,cyflogaeth
gwaith,work,labro
gwaith,work,gyrfa
gwaith,work,gweithiwr
gwaith,work,llafurio
gwaith,work,gweithwyr
gwaith,work,ymdrech
gwaith,work,gweithle
gwaith,work,swyddogaeth
gwaith,work,baich
gwaith,work,gweithred
gwaith,work,gweithfan
gwaith,work,gweithdy
gwaith,work,gweithgaredd
gwaith,work,proffesiwn
gwaith,work,cynhaliaeth
gwaith,work,busnes
gwaith,work,crefft
blwyddyn,year,blwydd
blwyddyn,year,blynedd
blwyddyn,year,deuddeng mis
blwyddyn,year,amser
blwyddyn,year,cyfnod
blwyddyn,year,blwyddyn academaidd
blwyddyn,year,eleni
blwyddyn,year,amser hir
blwyddyn,year,oes
blwyddyn,year,llynedd
blwyddyn,year,deuddeg mis
blwyddyn,year,blwyddyn nesaf
blwyddyn,year,oed
blwyddyn,year,calendr
blwyddyn,year,oesoedd
blwyddyn,year,adeg
blwyddyn,year,blwyddyn naid
blwyddyn,year,blwyddyn ysgol
blwyddyn,year,misol
blwyddyn,year,blynyddoedd
blwyddyn,year,blwyddyn newydd
blwyddyn,year,blwyddyn diwethaf
blwyddyn,year,awr
blwyddyn,year,munud
blwyddyn,year,tro
blwyddyn,year,diwrnod
blwyddyn,year,hoedl
blwyddyn,year,blwyddyn ariannol
blwyddyn,year,blwyddiadur
blwyddyn,year,wythnos
blwyddyn,year,blwyddyn cyhoeddi
iaith,language,mynegiant
iaith,language,ieithwedd
iaith,language,cyfathrebu
iaith,language,mamiaith
iaith,language,siarad
iaith,language,iaith arwyddion
iaith,language,cyfrwng
iaith,language,parabl
iaith,language,tafod
iaith,language,lleferydd
iaith,language,geiriau
iaith,language,tafodiaeth
iaith,language,acen
iaith,language,llafar
iaith,language,cyffes
iaith,language,diwylliant
iaith,language,rhyddiaith
iaith,language,cyfiaith
iaith,language,cymdeithas
iaith,language,tafodiaith
iaith,language,jargon
iaith,language,cyfuno geiriau
iaith,language,sgwrsio
iaith,language,iaith gorfforol
iaith,language,terminoleg
iaith,language,mynegiad
iaith,language,araith
iaith,language,hunaniaeth
iaith,language,llais
iaith,language,ymadrodd
iaith,language,gwladgarol
iaith,language,ar lafar
iaith,language,ieithoedd
iaith,language,sgwrs
iaith,language,dwyieithrwydd
plentyn,child,mab
plentyn,child,merch
plentyn,child,ifanc
plentyn,child,plentynnaidd
plentyn,child,disgynnydd
plentyn,child,bychan
plentyn,child,plentyndod
plentyn,child,crwt
plentyn,child,ieuenctid
plentyn,child,crwtyn
plentyn,child,pobl ieuainc
plentyn,child,plant
plentyn,child,crotes
plentyn,child,personau ieuainc
plentyn,child,anaeddfed
plentyn,child,babi
plentyn,child,genedigaeth
plentyn,child,epil
plentyn,child,plentyn y fam
plentyn,child,hogyn
plentyn,child,ieuanc
plentyn,child,babanod
plentyn,child,magu
plentyn,child,person bach
plentyn,child,hogen
plentyn,child,disgybl
plentyn,child,croten
plentyn,child,etifedd
plentyn,child,bachgen
plentyn,child,y fechan
plentyn,child,y bychan
ysgol,school,ysgol gynradd
ysgol,school,ysgol uwchradd
ysgol,school,ysgol feithrin
ysgol,school,ysgol gyfun
ysgol,school,sefydliad addysgol
ysgol,school,academi
ysgol,school,ysgol breifat
ysgol,school,ysgol sul
ysgol,school,sefydliad addysg
ysgol,school,prifysgol
ysgol,school,ysgol breswyl
ysgol,school,dosbarth
ysgol,school,coleg
ysgol,school,addysg
ysgol,school,ysgol ramadeg
ysgol,school,ysgol briefat
ysgol,school,ysgolion
ysgol,school,sefydiad addysgiadol
ysgol,school,sefydliad addysgiadol
byd,world,y ddaear
byd,world,planed
byd,world,natur
byd,world,byd-eang
byd,world,bydysawd
byd,world,bydoedd
byd,world,bywyd
byd,world,hollfyd
byd,world,glob
byd,world,y glob
byd,world,maes
byd,world,glôb
byd,world,grŵp
byd,world,bydau
byd,world,daearen
byd,world,cread
byd,world,henfyd
byd,world,creadigaeth
byd,world,hoedl
byd,world,cysawd yr haul
byd,world,bydol
byd,world,y trydydd byd
byd,world,gofod
dydd,day,diwrnod
dydd,day,undydd
dydd,day,pedair awr ar hugain
dydd,day,cyfnod
