,Gair,lemma,tag,pymusas,synset,lemma.1,tag.1,pymusas_1
1,pobl,pobl,E,['S2'],rhai,rhai,unk,['A13.5']
3,pobl,pobl,E,['S2'],LHDTQ,LHDTQ,E,['Z99']
4,pobl,pobl,E,['S2'],pobol,pobol,E,['S2']
5,pobl,pobl,E,['S2'],cleiantiaid,cleiantiaid,unk,['Z99']
6,pobl,pobl,E,['S2'],ifanc,ifanc,Ans,['T3-']
7,pobl,pobl,E,['S2'],bod,bod,B,"['A3+', 'Z5']"
8,pobl,pobl,E,['S2'],trwyr,trwyr,unk,['Z99']
9,pobl,pobl,E,['S2'],Ogleddwyr,Ogleddwyr,E,['Z99']
11,gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",celfwaith,celfwaith,unk,['Z99']
12,gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",metelwaith,metelwaith,unk,['Z99']
13,gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",caledwaith,caledwaith,unk,['Z99']
14,gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",13699,13699,Gw,['Z99']
15,gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",3782,3782,Gw,['Z99']
16,gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",ngwwaith,ngwwaith,unk,['Z99']
17,gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",pluwaith,pluwaith,unk,['Z99']
18,gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",weuwaith,weuwaith,unk,['Z99']
19,gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",ymchwil,ymchwil,E,['X2.4']
20,blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",blwyddyngolau,blwyddyngolau,unk,['Z99']
21,blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",hannerblwyddyn,hannerblwyddyn,unk,['Z99']
22,blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",blwyddynMae,blwyddynMae,unk,['Z99']
23,blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",bob,bob,unk,['Z99']
24,blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",Érimón,Érimón,E,['Z99']
