Gair,lemma,tag,pymusas,synset,lemma,tag,pymusas_1
pobl,pobl,E,['S2'],bobl,pobl,E,['S2']
pobl,pobl,E,['S2'],rhai,rhai,unk,['A13.5']
pobl,pobl,E,['S2'],phobl,pobl,E,['S2']
pobl,pobl,E,['S2'],LHDTQ,LHDTQ,E,['Z99']
pobl,pobl,E,['S2'],pobol,pobol,E,['S2']
pobl,pobl,E,['S2'],cleiantiaid,cleiantiaid,unk,['Z99']
pobl,pobl,E,['S2'],ifanc,ifanc,Ans,['T3-']
pobl,pobl,E,['S2'],bod,bod,B,"['A3+', 'Z5']"
pobl,pobl,E,['S2'],trwyr,trwyr,unk,['Z99']
pobl,pobl,E,['S2'],Ogleddwyr,Ogleddwyr,E,['Z99']
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",waith,gwaith | gwaith,E | E,['Z99']
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",celfwaith,celfwaith,unk,['Z99']
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",metelwaith,metelwaith,unk,['Z99']
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",caledwaith,caledwaith,unk,['Z99']
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",13699,13699,Gw,['Z99']
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",3782,3782,Gw,['Z99']
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",ngwwaith,ngwwaith,unk,['Z99']
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",pluwaith,pluwaith,unk,['Z99']
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",weuwaith,weuwaith,unk,['Z99']
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",ymchwil,ymchwil,E,['X2.4']
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",blwyddyngolau,blwyddyngolau,unk,['Z99']
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",hannerblwyddyn,hannerblwyddyn,unk,['Z99']
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",blwyddynMae,blwyddynMae,unk,['Z99']
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",bob,bob,unk,['Z99']
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",Érimón,Érimón,E,['Z99']
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",canolblwyddyn,canolblwyddyn,unk,['Z99']
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",ynôlblwyddyn,ynôlblwyddyn,unk,['Z99']
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",flwyddyn,blwyddyn,E,"['T1.3', 'P1c']"
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",megaflwyddyn,megaflwyddyn,unk,['Z99']
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",blwyddynbwlch,blwyddynbwlch,unk,['Z99']
iaith,iaith,E,"['Q3', 'Y2']",Gymraeg,Cymraeg,E,"['Z2', 'Z2/Q3']"
iaith,iaith,E,"['Q3', 'Y2']",Gymrae,Gymrae,E,['Z99']
iaith,iaith,E,"['Q3', 'Y2']",ieithoedd,iaith,E,"['Q3', 'Y2']"
iaith,iaith,E,"['Q3', 'Y2']",Iaith,iaith,E,"['Q3', 'Y2']"
iaith,iaith,E,"['Q3', 'Y2']",Cymraeg,Cymraeg,E,"['Z2', 'Z2/Q3']"
iaith,iaith,E,"['Q3', 'Y2']",macroiaith,macroiaith,unk,['Z99']
iaith,iaith,E,"['Q3', 'Y2']",siarad,siarad,B,['Q2.1']
iaith,iaith,E,"['Q3', 'Y2']",Woloffeg,Woloffeg,E,['Z99']
iaith,iaith,E,"['Q3', 'Y2']",Campiaith,Campiaith,E,['Z99']
iaith,iaith,E,"['Q3', 'Y2']",ethnigieithyddol,ethnigieithyddol,unk,['Z99']
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",pikni,pikni,unk,['Z99']
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",Umntwana,Umntwana,E,['Z99']
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",pequeño,pequeño,unk,['Z99']
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",pikinini,pikinini,unk,['Z99']
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",Kodomo,Kodomo,E,['Z99']
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",phlentyn,plentyn,E,"['S2mf/T3-', 'S4mf']"
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",ukubona,ukubona,unk,['Z99']
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",apām,apām,unk,['Z99']
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",Plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']"
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",mhlentyn,plentyn,E,"['S2mf/T3-', 'S4mf']"
ysgol,ysgol,E,['P1'],Ysgol,ysgol,E,['P1']
ysgol,ysgol,E,['P1'],gynradd,cynradd,Ans,"['G1.2', 'P1', 'B2-']"
ysgol,ysgol,E,['P1'],uwchradd,uwchradd,Ans,"['S7.1++/S2mf', 'A5.1++/S2mf']"
ysgol,ysgol,E,['P1'],ysgolion,ysgol,E,['P1']
ysgol,ysgol,E,['P1'],disgyblion,disgybl,E,"['P1/S2mf', 'G2.1/S2mf', 'B1']"
ysgol,ysgol,E,['P1'],ddisgyblion,disgybl,E,"['P1/S2mf', 'G2.1/S2mf', 'B1']"
ysgol,ysgol,E,['P1'],ysgol,ysgol,E,['P1']
ysgol,ysgol,E,['P1'],gydaddysgol,gydaddysgol,unk,['Z99']
ysgol,ysgol,E,['P1'],cynysgol,cynysgol,unk,['Z99']
ysgol,ysgol,E,['P1'],ysgolOnd,ysgolOnd,unk,['Z99']
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",mwyaf,mawr,Ans,"['N3.2+++', 'N5+++', 'A11.1+++', 'S1.2.5+++', 'X5.2+++']"
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",ledled,ledled,Adf,['Z99']
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",Ledled,ledled,Adf,['Z99']
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",draws,traws,Ar,['M6']
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",wlad,gwlad,E,"['G1.1c', 'W3', 'F4/M7']"
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",wledydd,gwlad,E,"['G1.1c', 'W3', 'F4/M7']"
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",fwyaf,mawr,Ans,['N3.2+']
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",rhyngwladol,rhyngwladol,Ans,"['M7/S5+c', 'K5.1', 'K5.1/S2mf']"
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",gorau,da,Ans,"['A5.1+++', 'A13.2', 'G2.2+++', 'O4.2+++']"
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",gwledydd,gwlad,E,['M7']
dydd,dydd,E,['T1.3'],bob,bob,unk,['Z99']
dydd,dydd,E,['T1.3'],ddydd,dydd,E,['T1.3']
dydd,dydd,E,['T1.3'],wawrddydd,wawrddydd,unk,['Z99']
dydd,dydd,E,['T1.3'],nos,nos,E,['T1.3']
