,Gair,lemma,tag,pymusas,synset,lemma.1,tag.1,pymusas_1
0,pobl,pobl,E,['S2'],pobol,pobol,E,['S2']
3,pobl,pobl,E,['S2'],bobol,pobol,E,['S2']
4,pobl,pobl,E,['S2'],rhywun,rhywun,E,['Z8mfc']
5,pobl,pobl,E,['S2'],trigolion,trigolyn,E,['H4/S2mf']
6,pobl,pobl,E,['S2'],pawb,pawb,unk,['Z8/N5.1+c']
7,pobl,pobl,E,['S2'],dinasyddion,dinesydd,E,"['G1.1/S2mf', 'S5+/S2mf']"
8,pobl,pobl,E,['S2'],plant,plentyn,E,"['S2mf/T3-', 'S4mf']"
11,gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",gwait,gwait,unk,['Z99']
17,gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",gweith,gweu,B,"['B5', 'S5+', 'B2+', 'B1']"
19,gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",ffugwaith,ffugwaith,unk,['Z99']
20,blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",blwyddy,blwyddy,unk,['Z99']
27,blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",wyddyn,wyddyn,unk,['Z99']
28,blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",blywyddyn,blywyddyn,unk,['Z99']
30,iaith,iaith,E,"['Q3', 'Y2']",gymraeg,gymraeg,unk,['Z99']
33,iaith,iaith,E,"['Q3', 'Y2']",ieithyddol,ieithyddol,Ans,['Q3']
34,iaith,iaith,E,"['Q3', 'Y2']",gymraeg,gymraeg,unk,['Z99']
35,iaith,iaith,E,"['Q3', 'Y2']",ieithyddiaeth,ieithyddiaeth,unk,['Z99']
36,iaith,iaith,E,"['Q3', 'Y2']",famiaith,mamiaith,E,['Z99']
37,iaith,iaith,E,"['Q3', 'Y2']",rhwydiaith,rhwydiaith,unk,['Z99']
38,iaith,iaith,E,"['Q3', 'Y2']",gyfiaith,gyfiaith,unk,['Z99']
39,iaith,iaith,E,"['Q3', 'Y2']",hunaniaith,hunaniaith,unk,['Z99']
44,plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",babi,babi,E,['T3--']
45,plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",disgybl,disgybl,E,"['P1/S2mf', 'G2.1/S2mf', 'B1']"
