Gair,lemma,tag,pymusas,synset,lemma,tag,pymusas_1
pobl,pobl,E,['S2'],pobol,pobol,E,['S2']
pobl,pobl,E,['S2'],bobl,pobl,E,['S2']
pobl,pobl,E,['S2'],phobl,pobl,E,['S2']
pobl,pobl,E,['S2'],bobol,pobol,E,['S2']
pobl,pobl,E,['S2'],rhywun,rhywun,E,['Z8mfc']
pobl,pobl,E,['S2'],trigolion,trigolyn,E,['H4/S2mf']
pobl,pobl,E,['S2'],pawb,pawb,unk,['Z8/N5.1+c']
pobl,pobl,E,['S2'],dinasyddion,dinesydd,E,"['G1.1/S2mf', 'S5+/S2mf']"
pobl,pobl,E,['S2'],plant,plentyn,E,"['S2mf/T3-', 'S4mf']"
pobl,pobl,E,['S2'],pobl,pobl,E,['S2']
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",waith,gwaith | gwaith,E | E,['Z99']
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",gwait,gwait,unk,['Z99']
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",gweithiau,gwaith | gwaith,E | E,['Z3']
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']"
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",ngwaith,gwaith | gwaith,E | E,['Z99']
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",ngwaith,gwaith | gwaith,E | E,['Z99']
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']"
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",gweith,gweu,B,"['B5', 'S5+', 'B2+', 'B1']"
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",ngwaith,gwaith | gwaith,E | E,['Z99']
gwaith,gwaith | gwaith,E | E,"['X7+/T1', 'N3.1/T1']",ffugwaith,ffugwaith,unk,['Z99']
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",blwyddy,blwyddy,unk,['Z99']
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",blwyddyn,blwyddyn,E,"['T1.3', 'P1c']"
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",flwyddyn,blwyddyn,E,"['T1.3', 'P1c']"
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",flwyddyn,blwyddyn,E,"['T1.3', 'P1c']"
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",mlwyddyn,blwyddyn,E,"['T1.3', 'P1c']"
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",blwyddyn,blwyddyn,E,"['T1.3', 'P1c']"
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",blynedd,blwyddyn,E,['T1.3']
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",wyddyn,wyddyn,unk,['Z99']
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",blywyddyn,blywyddyn,unk,['Z99']
blwyddyn,blwyddyn,E,"['T1.3', 'P1c']",flynedd,blwyddyn,E,"['T1.3', 'P1c']"
iaith,iaith,E,"['Q3', 'Y2']",gymraeg,gymraeg,unk,['Z99']
iaith,iaith,E,"['Q3', 'Y2']",iaith,iaith,E,"['Q3', 'Y2']"
iaith,iaith,E,"['Q3', 'Y2']",iaith,iaith,E,"['Q3', 'Y2']"
iaith,iaith,E,"['Q3', 'Y2']",ieithyddol,ieithyddol,Ans,['Q3']
iaith,iaith,E,"['Q3', 'Y2']",gymraeg,gymraeg,unk,['Z99']
iaith,iaith,E,"['Q3', 'Y2']",ieithyddiaeth,ieithyddiaeth,unk,['Z99']
iaith,iaith,E,"['Q3', 'Y2']",famiaith,mamiaith,E,['Z99']
iaith,iaith,E,"['Q3', 'Y2']",rhwydiaith,rhwydiaith,unk,['Z99']
iaith,iaith,E,"['Q3', 'Y2']",gyfiaith,gyfiaith,unk,['Z99']
iaith,iaith,E,"['Q3', 'Y2']",hunaniaith,hunaniaith,unk,['Z99']
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']"
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",blentyn,plentyn,E,"['S2mf/T3-', 'S4mf']"
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",phlentyn,plentyn,E,"['S2mf/T3-', 'S4mf']"
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",plant,plentyn,E,"['S2mf/T3-', 'S4mf']"
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",babi,babi,E,['T3--']
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",disgybl,disgybl,E,"['P1/S2mf', 'G2.1/S2mf', 'B1']"
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",blant,plentyn,E,"['S2mf/T3-', 'S4mf']"
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",mhlentyn,plentyn,E,"['S2mf/T3-', 'S4mf']"
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",baban,baban,E,['T3--']
plentyn,plentyn,E,"['S2mf/T3-', 'S4mf']",ysgentyn,ysgentyn,unk,['Z99']
ysgol,ysgol,E,['P1'],gynradd,cynradd,Ans,"['G1.2', 'P1', 'B2-']"
ysgol,ysgol,E,['P1'],uwchradd,uwchradd,Ans,"['S7.1++/S2mf', 'A5.1++/S2mf']"
ysgol,ysgol,E,['P1'],gyfun,cyfun,Ans,"['S5+', 'A2.1+']"
ysgol,ysgol,E,['P1'],ysgolion,ysgol,E,['P1']
ysgol,ysgol,E,['P1'],hysgol,ysgol,E,['P1']
ysgol,ysgol,E,['P1'],chynradd,cynradd,Ans,"['G1.2', 'P1', 'B2-']"
ysgol,ysgol,E,['P1'],ddisgybl,disgybl,E,"['P1/S2mf', 'G2.1/S2mf', 'B1']"
ysgol,ysgol,E,['P1'],ddisgyblion,disgybl,E,"['P1/S2mf', 'G2.1/S2mf', 'B1']"
ysgol,ysgol,E,['P1'],disgyblion,disgybl,E,"['P1/S2mf', 'G2.1/S2mf', 'B1']"
ysgol,ysgol,E,['P1'],ysgol,ysgol,E,['P1']
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",fyd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']"
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",einglamericanaidd,einglamericanaidd,unk,['Z99']
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",cyfandir,tir,E,"['M1', 'M2', 'M5', 'M4', 'A9+', 'A2.2']"
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",wlad,gwlad,E,"['G1.1c', 'W3', 'F4/M7']"
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",mydoedd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']"
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",doedd,doedd,unk,"['A3+', 'Z5']"
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']"
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",fydoedd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']"
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",unedig,unedig,Ans,['S5+']
byd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']",myd,byd,E,"['W1', 'S5+c', 'A4.1', 'N5+']"
dydd,dydd,E,['T1.3'],ddydd,dydd,E,['T1.3']
dydd,dydd,E,['T1.3'],gwener,gwenu,B,['E4.1+']
dydd,dydd,E,['T1.3'],mercher,mercher,unk,['Z99']
dydd,dydd,E,['T1.3'],iau,ifanc | iau | iau,Ans | E | E,['A1.1.1/A1.7+']
dydd,dydd,E,['T1.3'],sadwrn,sadwrn,unk,['Z99']
dydd,dydd,E,['T1.3'],sul,sul,unk,['Z99']
dydd,dydd,E,['T1.3'],mawrth,mawrth,unk,['Z99']
dydd,dydd,E,['T1.3'],llungwener,llungwener,unk,['Z99']
dydd,dydd,E,['T1.3'],brynhawniau,brynhawniau,unk,['Z99']
dydd,dydd,E,['T1.3'],nos,nos,E,['T1.3']
rhaid,rhaid,E,"['S6+', 'A11.1+']",raid,rhaid,E,"['S6+', 'A11.1+']"
rhaid,rhaid,E,"['S6+', 'A11.1+']",angen,angen,E,['S6+']
rhaid,rhaid,E,"['S6+', 'A11.1+']",rhaid,rhaid,E,"['S6+', 'A11.1+']"
rhaid,rhaid,E,"['S6+', 'A11.1+']",ofynnol,gofynnol,Ans,"['S6+', 'A11.1+']"
rhaid,rhaid,E,"['S6+', 'A11.1+']",gorfod,gorfod,B,['Z99']
rhaid,rhaid,E,"['S6+', 'A11.1+']",rhaid,rhaid,E,"['S6+', 'A11.1+']"
rhaid,rhaid,E,"['S6+', 'A11.1+']",disgwyl,disgwyl,B,"['X2.6+', 'B1']"
rhaid,rhaid,E,"['S6+', 'A11.1+']",caniatáu,caniatáu,B,"['S7.4+', 'S8+', 'X2.1']"
rhaid,rhaid,E,"['S6+', 'A11.1+']",modd,bodd,E,['N2']
rhaid,rhaid,E,"['S6+', 'A11.1+']",caniatau,caniatau,unk,['Z99']
tŷ,tŷ,E,['H4'],ty,tyfu | tyfu,B | B,['Z99']
tŷ,tŷ,E,['H4'],dydy,bod,B,"['A3+', 'Z5']"
tŷ,tŷ,E,['H4'],nhy,nhy,unk,['Z99']
tŷ,tŷ,E,['H4'],thy,thy,unk,['Z99']
tŷ,tŷ,E,['H4'],fflat,fflat,E,"['O4.4', 'N5-', 'A6.1+', 'K2']"
tŷ,tŷ,E,['H4'],nhy,nhy,unk,['Z99']
tŷ,tŷ,E,['H4'],adeilad,adeilad,E,"['H1', 'A1.1.1', 'A5.1+/A2.1', 'N3.2+/A2.1']"
tŷ,tŷ,E,['H4'],ysgubor,ysgubor,unk,['Z99']
tŷ,tŷ,E,['H4'],garej,garej,E,['M3/H1']
tŷ,tŷ,E,['H4'],ffermdy,ffermdy,unk,['Z99']
angen,angen,E,['S6+'],rhaid,rhaid,E,"['S6+', 'A11.1+']"
angen,angen,E,['S6+'],hangen,angen,E,['S6+']
angen,angen,E,['S6+'],eisiau,eisiau,E,"['X7+', 'S6+', 'A7+', 'S3.2', 'A9-']"
angen,angen,E,['S6+'],angen,angen,E,['S6+']
angen,angen,E,['S6+'],angen,angen,E,['S6+']
angen,angen,E,['S6+'],arnom,ar,Ar,['Z5']
angen,angen,E,['S6+'],dylid,dylu,B,['Z99']
angen,angen,E,['S6+'],angen,angen,E,['S6+']
angen,angen,E,['S6+'],eisio,eisio,E,"['X7+', 'S6+', 'A7+', 'S3.2', 'A9-']"
angen,angen,E,['S6+'],isio,eisiau,E,"['X7+', 'S6+', 'A7+', 'S3.2', 'A9-']"
amser,amser,E,"['X7+/T1', 'N3.1/T1']",hamser,amser,E,"['X7+/T1', 'N3.1/T1']"
amser,amser,E,"['X7+/T1', 'N3.1/T1']",famser,famser,unk,['Z99']
amser,amser,E,"['X7+/T1', 'N3.1/T1']",amse,amse,unk,['Z99']
amser,amser,E,"['X7+/T1', 'N3.1/T1']",amser,amser,E,"['X7+/T1', 'N3.1/T1']"
amser,amser,E,"['X7+/T1', 'N3.1/T1']",amser,amser,E,"['X7+/T1', 'N3.1/T1']"
amser,amser,E,"['X7+/T1', 'N3.1/T1']",diamser,diamser,unk,['Z99']
amser,amser,E,"['X7+/T1', 'N3.1/T1']",amserydd,amserydd,E,['T1/O2']
amser,amser,E,"['X7+/T1', 'N3.1/T1']",awr,awr,E,['T1.3']
amser,amser,E,"['X7+/T1', 'N3.1/T1']",amsar,amsar,unk,['Z99']
amser,amser,E,"['X7+/T1', 'N3.1/T1']",dreulir,treulio,B,"['I1.2', 'A1.5.1', 'T1.3']"
ffordd,ffordd,E,['A13.3'],fordd,fordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],brifffordd,brifffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],ffyrdd,ffwrdd,E,['A13.3']
ffordd,ffordd,E,['A13.3'],priffordd,priffordd,E,['M3']
ffordd,ffordd,E,['A13.3'],briffordd,priffordd,E,['M3']
ffordd,ffordd,E,['A13.3'],gyffordd,gyffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],phriffordd,priffordd,E,['M3']
ffordd,ffordd,E,['A13.3'],ffordd,ffordd,E,['A13.3']
ffordd,ffordd,E,['A13.3'],rhywffordd,rhywffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],ffor,ffor,unk,['Z99']
ffordd,ffordd,E,['A13.3'],fordd,fordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],brifffordd,brifffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],ffyrdd,ffwrdd,E,['A13.3']
ffordd,ffordd,E,['A13.3'],priffordd,priffordd,E,['M3']
ffordd,ffordd,E,['A13.3'],briffordd,priffordd,E,['M3']
ffordd,ffordd,E,['A13.3'],gyffordd,gyffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],phriffordd,priffordd,E,['M3']
ffordd,ffordd,E,['A13.3'],ffordd,ffordd,E,['A13.3']
ffordd,ffordd,E,['A13.3'],rhywffordd,rhywffordd,unk,['Z99']
ffordd,ffordd,E,['A13.3'],ffor,ffor,unk,['Z99']
enw,enw,E,['Q2.2'],henw,enw,E,['Q2.2']
enw,enw,E,['Q2.2'],enw,enw,E,['Q2.2']
enw,enw,E,['Q2.2'],go,go,Adf,"['Z4', 'E2++']"
enw,enw,E,['Q2.2'],enw,enw,E,['Q2.2']
enw,enw,E,['Q2.2'],cyfenw,cyfenw,E,['Q2.2']
enw,enw,E,['Q2.2'],llysenw,llysenw,unk,['Z99']
enw,enw,E,['Q2.2'],gyfenw,cyfenw,E,['Q2.2']
enw,enw,E,['Q2.2'],enwau,enw,E,['Q2.2']
enw,enw,E,['Q2.2'],lysenw,lysenw,unk,['Z99']
enw,enw,E,['Q2.2'],ffugenw,ffugenw,E,['A5.4-']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",blwydd,blwydd,E,"['T1.3', 'P1c']"
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",draw,draw,Adf,['M6']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",phen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']"
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",ben,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']"
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",blwyddau,blwyddau,unk,['Z99']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",blwyddi,blwydd,E,['T1.3']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",llau,lleuen,E,['L2']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",tennyn,tennyn,E,['Z99']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",cau,cau,B,"['A1.1.1', 'A10-', 'T2-']"
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",rhionydd,rhionydd,unk,['Z99']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",blwydd,blwydd,E,"['T1.3', 'P1c']"
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",draw,draw,Adf,['M6']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",phen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']"
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",ben,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']"
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",blwyddau,blwyddau,unk,['Z99']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",blwyddi,blwydd,E,['T1.3']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",llau,lleuen,E,['L2']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",tennyn,tennyn,E,['Z99']
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",cau,cau,B,"['A1.1.1', 'A10-', 'T2-']"
pen,pen,E,"['S7.1+', 'K5.1', 'M1', 'N5', 'A2.1+', 'A11.1+', 'Q1.2', 'T1.1.3']",rhionydd,rhionydd,unk,['Z99']
lle,lle,Rha,['M6'],ble,ble,Rha,['M6']
lle,lle,Rha,['M6'],modd,bodd,E,['N2']
lle,lle,Rha,['M6'],fan,fan,E,['M3fn']
lle,lle,Rha,['M6'],hefyd,hefyd,Adf,['N5++']
lle,lle,Rha,['M6'],le,lle,E,"['M2', 'X2.2+', 'I3.1', 'Q2.2']"
lle,lle,Rha,['M6'],ddiau,diau,Ans,['A7+']
lle,lle,Rha,['M6'],tra,tra,Cys,['Z5']
lle,lle,Rha,['M6'],pryd,pryd,E,"['X7+/T1', 'N3.1/T1']"
lle,lle,Rha,['M6'],fannau,ban,E,"['N5.1+', 'A5.1+++']"
lle,lle,Rha,['M6'],ond,ond,Cys,['Z5']
mis,mis,E,['T1.3'],fis,mis,E,['T1.3']
mis,mis,E,['T1.3'],llynedd,llynedd,Adf,['Z99']
mis,mis,E,['T1.3'],ionawr,ionawr,unk,['Z99']
mis,mis,E,['T1.3'],tachwedd,tachwedd,unk,['Z99']
mis,mis,E,['T1.3'],mawrth,mawrth,unk,['Z99']
mis,mis,E,['T1.3'],gorffennaf,gorffen,B,"['T2-', 'Q1.2']"
mis,mis,E,['T1.3'],medi,medi | medi,B | B,"['F4', 'A9+']"
mis,mis,E,['T1.3'],wythnos,wythnos,E,['T1.3']
mis,mis,E,['T1.3'],hydref,hydref,E,['T1.3']
mis,mis,E,['T1.3'],chwefror,chwefror,unk,['Z99']
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",cyntaf,un,Rhi,"['N4', 'P1@']"
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",cynta,un,Rhi,"['N4', 'P1@']"
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",cynta,un,Rhi,"['N4', 'P1@']"
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",cynta,un,Rhi,"['N4', 'P1@']"
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",dro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']"
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",eildro,eildro,E,['Z99']
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",dwuy,dwuy,unk,['Z99']
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",erioed,erioed,Adf,['T1/Z6']
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",ers,ers,Ar,['N4']
tro,tro,E,"['M2', 'M1', 'O4.4', 'A1.1.1', 'A2.1+', 'O4.2-']",degawd,degawd,E,['T1.3']
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",lyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']"
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']"
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",cyfrolau,cyfrol,E,"['N3.4', 'N5', 'Q4.1', 'Q4.2', 'X3.2']"
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']"
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",pumllyfr,pumllyfr,unk,['Z99']
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",llyfryn,llyfryn,E,['Q4.1']
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",llyfre,llyfre,unk,['Z99']
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",cyfrol,cyfrol,E,"['N3.4', 'N5', 'Q4.1', 'Q4.2', 'X3.2']"
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",llyfra,llyfru | llyfru,B | B,"['A9+/Q2.2', 'G2.1']"
llyfr,llyfr,E,"['A9+/Q2.2', 'G2.1']",ilyfr,ilyfr,unk,['Z99']
cwrs,cwrs,E,['M1'],cyrsiau,cwrs,E,"['M6', 'X7+', 'P1', 'B3', 'F1', 'M7/K5.1', 'T1.3']"
cwrs,cwrs,E,['M1'],cwrs,cwrs,E,['M1']
cwrs,cwrs,E,['M1'],gyrsiau,cwrs,E,['M1']
cwrs,cwrs,E,['M1'],diploma,diploma,E,"['P1', 'Q1.2']"
cwrs,cwrs,E,['M1'],chyrsiau,cwrs,E,['M1']
cwrs,cwrs,E,['M1'],tiwtora,tiwtora,unk,['Z99']
cwrs,cwrs,E,['M1'],cymhwyster,cymhwyster,E,"['P1', 'X9.1', 'S6+', 'A1.7+']"
cwrs,cwrs,E,['M1'],chwrs,cwrs,E,['M1']
cwrs,cwrs,E,['M1'],hyfforddi,hyfforddi | hyfforddi,B | B,"['P1', 'K5.1']"
cwrs,cwrs,E,['M1'],wlpan,wlpan,unk,['Z99']
cwrs,cwrs,E,['M1'],cyrsiau,cwrs,E,"['M6', 'X7+', 'P1', 'B3', 'F1', 'M7/K5.1', 'T1.3']"
cwrs,cwrs,E,['M1'],cwrs,cwrs,E,['M1']
cwrs,cwrs,E,['M1'],gyrsiau,cwrs,E,['M1']
cwrs,cwrs,E,['M1'],diploma,diploma,E,"['P1', 'Q1.2']"
cwrs,cwrs,E,['M1'],chyrsiau,cwrs,E,['M1']
cwrs,cwrs,E,['M1'],tiwtora,tiwtora,unk,['Z99']
cwrs,cwrs,E,['M1'],cymhwyster,cymhwyster,E,"['P1', 'X9.1', 'S6+', 'A1.7+']"
cwrs,cwrs,E,['M1'],chwrs,cwrs,E,['M1']
cwrs,cwrs,E,['M1'],hyfforddi,hyfforddi | hyfforddi,B | B,"['P1', 'K5.1']"
cwrs,cwrs,E,['M1'],wlpan,wlpan,unk,['Z99']
rhaglen,rhaglen,E,['Y2'],rhaglen,rhaglen,E,['Y2']
rhaglen,rhaglen,E,['Y2'],raglen,rhaglen,E,['Y2']
rhaglen,rhaglen,E,['Y2'],rhagleni,rhagleni,unk,['Z99']
rhaglen,rhaglen,E,['Y2'],rhaglenni,rhaglennu,E,['Y2']
rhaglen,rhaglen,E,['Y2'],rhaglennydd,rhaglennydd,unk,['Z99']
rhaglen,rhaglen,E,['Y2'],ddogfen,dogfen,E,"['Q1.2', 'X2.2+', 'A5.2+']"
rhaglen,rhaglen,E,['Y2'],gyfres,cyfres,E,"['N4c', 'Q4.3c']"
rhaglen,rhaglen,E,['Y2'],rhaglennu,rhaglennu,B,['Y2']
rhaglen,rhaglen,E,['Y2'],raglenni,rhaglen,E,['Y2']
rhaglen,rhaglen,E,['Y2'],rhaglenjonathan,rhaglenjonathan,unk,['Z99']
diolch,diolch,B,['S1.2.4+'],diolcha,diolch | diolch,B | B,['S1.2.4+']
diolch,diolch,E,['S1.2.4+'],dimdiolch,dimdiolch,unk,['Z99']
diolch,diolch,B,['S1.2.4+'],diolchaf,diolch,B,['S1.2.4+']
diolch,diolch,E,['S1.2.4+'],diolch,diolch,E,['S1.2.4+']
diolch,diolch,B,['S1.2.4+'],diolchai,diolch,B,['S1.2.4+']
diolch,diolch,E,['S1.2.4+'],diolchwn,diolch,B,['S1.2.4+']
diolch,diolch,B,['S1.2.4+'],diolchais,diolch,B,['S1.2.4+']
diolch,diolch,E,['S1.2.4+'],diolchwch,diolch | diolch,B | B,['S1.2.4+']
diolch,diolch,B,['S1.2.4+'],ddiolch,diolch,E,['S1.2.4+']
diolch,diolch,E,['S1.2.4+'],diolch,diolch,E,['S1.2.4+']
aelod,aelod,E,"['S5+/S2mf', 'B1']",aelode,aelode,unk,['Z99']
aelod,aelod,E,"['S5+/S2mf', 'B1']",aelodau,aelod,E,"['S5+/S2mf', 'B1']"
aelod,aelod,E,"['S5+/S2mf', 'B1']",cynaelod,cynaelod,unk,['Z99']
