word,sense,WelshSynset_1,WelshSynset_2,WelshSynset_3,WelshSynset_4,WelshSynset_5,WelshSynset_6,WelshSynset_7,WelshSynset_8,WelshSynset_9,WelshSynset_10,WelshSynset_11,WelshSynset_12,WelshSynset_13,WelshSynset_14,WelshSynset_15,WelshSynset_16,WelshSynset_17,WelshSynset_18,WelshSynset_19,WelshSynset_20,WelshSynset_21,WelshSynset_22,WelshSynset_23,WelshSynset_24,WelshSynset_25,WelshSynset_26,WelshSynset_27,WelshSynset_28,WelshSynset_29,WelshSynset_30,WelshSynset_31,WelshSynset_32,WelshSynset_33,WelshSynset_34,WelshSynset_35,WelshSynset_36,WelshSynset_37,WelshSynset_38,WelshSynset_39,WelshSynset_40,WelshSynset_41,WelshSynset_42,WelshSynset_43,WelshSynset_44,WelshSynset_45,WelshSynset_46,WelshSynset_47
pobl,people,pobl , pobol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwaith,work,gweithio , gwaith , rhedeg , llunwedd , gorfodi , gorchwyl , golafur , drama , dehongli , deddf , creu , chwarae , chwa , bold , awgrymu , act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blwyddyn,year,blwyddyn , blwydd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iaith,language,iaith , ysbîtsh , termyddiaeth , terminoleg , termeg , tafod-leferydd , sbîtsh , lleferydd , aeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plentyn,child,plentyn , nythgyw , niper , myn , gwringhellwr , cywtyn , cnidw , cnidiw , baban , bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ysgol,school,ysgol , ymarfer , lofn , llofn , hyfforddi , gosgordd , dysgu , anelu , addysgu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byd,world,byd , rialiti , realiti , realedd , gwirfodoldeb , gwirfodolaeth , gwirfod , dirwedd , dirfod , daear , cronnen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dydd,day,dydd , diwrnod , dwthwn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhaid,necessity ,obligation,rheidrwydd , ymrwym , rhwymedigeiddrwydd , rhwymedigaeth , rheidioldeb , rhaid , gorfodaeth , dir , cyfrifolrwydd , anhepgorwch , anghenraid , anghendid , angenrheidrwydd , angenrheidiolrwydd , angenrheidioldeb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tŷ,house,untyaeth , tŷ , tylwyth , tyaeth , theatr , teulu , gartref , ffamili , cymaethlu , adre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
angen,need,symbyliad , swmbyliad , swmbwliad , motifyddiaeth , cymhelliant , angen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amser,time,amser , tymp , pryd , mor , gwaith , cloc , amseru , adeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ffordd,road,heol , gwastod , ffordd , beidr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ffordd,manner,modd , meiliad , ffed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enw,name,enw , penodi , magu , llechres , list , gorfodi , enwi , egor , dehongli , darganfod , cyfenwi , crybwyll , creu , cofres , awgrymu , allwedd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pen,head,pen , plwm , penio , gwidydd , geid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pen,biro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lle,location,lleoliad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mis,month,mis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tro,rotation,cylchdro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llyfr,book,llyfr , sgript , llyfru , cadw , bwcio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cwrs,course,wysg , trac , row , rhedeg , llwybrfa , llwybr , llifo , hynt , golwybr , ffid , erllyry , erllwrw , cwrs , bwydo , brisg , arweinlwybr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cwrs,corrupt,llygru , llygrio , llwgr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhaglen,programme,rhaglen , rhaglennu , program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diolch,thanks,diolch , godemersi , diolchred , diolchdred,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aelod,member,aelod , pin , pidyn , pidlen , piden , penis , llostddelw , celyn , caly , cala , cal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gair,word,trwyddedair , trwyddair , trafodaeth , pwmp , niws , mwting , gwylair , gair , chwedliaeth , chweddliaeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oed,age,oes , oed , yr , to , oedran , heneiddio , addoed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
llywodraeth,government,llywodraeth , trefnlywodraeth , trefnllywodraeth , penadurdod , ministriad , ministrasiwn , ministrad , llywodri , arlywodraeth , arlywiaeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwybodaeth,information,hysbysrwydd , gwybodaeth , data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyfle,chance,tsiawns , tsians , siawnsio , siawns , hap , goreubryd , ffortyn , ffortun , ffortiwn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hanes,history,hanes , edrybod , edrybedd , astudiaeth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
